parameter,posterior_mean,posterior_sd,ess,autocorr_lag1,autocorr_lag5,autocorr_lag10,autocorr_lag20
intercept,22.800515812136133,0.24218102726328736,2298.340038557963,0.02211595319590327,0.03588160825149578,0.010492492517101161,-0.005886163665898784
crim,-0.9745327262031905,0.30238903018922686,2400.0,-0.006138199080546161,-0.011829498834328583,0.004763931818112844,0.032696169777293525
zn,0.6509620694944899,0.3619740786079505,2288.0761859489417,0.023927358171805302,-0.0010592062460798208,0.011477968800004915,0.018464643077873166
indus,0.2262841894018853,0.4618915570105709,2400.0,-0.0035155857582627966,0.004627175994416616,0.03321291313790063,0.04021121726227072
chas,0.719092516407545,0.24991039427487505,2294.0761902447857,0.023086375728417246,-0.013481694030595823,-0.002593418871585775,0.0064256508271601145
nox,-1.9451970057083137,0.504850977419501,2246.0055411898484,0.016039130944722722,0.0028576178895185563,0.016944556009570663,-0.002848368764616883
rm,3.1494445141949243,0.3253246767466072,2400.0,-0.0009255410726109544,-0.014833522648100065,0.013645618696399311,-0.044394912668805075
age,-0.17107322420259843,0.39914388894642605,2400.0,-0.03637450097427864,-0.006608546710764261,-0.02387983165155974,0.019470473749791318
dis,-2.9925986617678793,0.4767098130717235,1881.3574455170437,0.04432559765385004,0.033010468255666295,-0.011975989088271933,0.004137904397910275
rad,2.0899257057462055,0.6259794384964517,2400.0,-0.035305784995628725,-0.01662202620516003,-0.016597153854171418,0.023007435763593348
tax,-1.62317298628317,0.6693502830555217,2400.0,-0.022707644256953558,0.001054208766065849,0.0034388909421829866,0.009655208775337126
ptratio,-2.01811780037208,0.3261901142510901,2400.0,-0.004388638359693105,0.040038476470524526,0.005524787372811859,0.026115428892938605
b,1.1344105065331636,0.27348912514948354,2144.209424142443,0.01062970277648408,-0.012560437091741927,-0.003841949255197572,-0.011678478778140992
lstat,-3.5916584316143627,0.39018431285744637,2388.9328890664756,0.0023163293921264817,-0.008500089988973726,-0.017544924893578024,-0.0051723619632586025
sigma2,22.651428707843262,1.6027813051413804,2317.104973016911,0.017887628732495088,-0.0004500880431712504,-0.00010394642025016684,0.018348113441941035
