tau2,fold,rmse
0.01,1,7.623261379557032
0.01,2,9.046595718629787
0.01,3,8.880618216436567
0.01,4,9.400792562546432
0.01,5,7.335577030844466
0.1,1,5.191057594586666
0.1,2,5.891366369633507
0.1,3,6.973128652510617
0.1,4,5.729944944458506
0.1,5,4.168636454123853
1.0,1,4.8194006146781145
1.0,2,4.885977539201412
1.0,3,6.200839106173888
1.0,4,5.048175788149492
1.0,5,3.4124482265449863
10.0,1,4.830555551778927
10.0,2,4.852755960182487
10.0,3,6.0716646801101275
10.0,4,5.061570477467066
10.0,5,3.4955377433259427
100.0,1,4.8236541173125955
100.0,2,4.85126562511924
100.0,3,6.061250104233015
100.0,4,5.076333477340491
100.0,5,3.531069163102546
1000.0,1,4.830161456978342
1000.0,2,4.853371448121681
1000.0,3,6.050793283281806
1000.0,4,5.074148209617788
1000.0,5,3.5359291108034987
