model,train_fraction,repeat,rmse
Ordinary least squares,0.2,0,5.076255607903475
Bayesian Gibbs,0.2,0,5.081558855787294
Ordinary least squares,0.2,1,4.947234604783857
Bayesian Gibbs,0.2,1,4.866384217981236
Ordinary least squares,0.2,2,5.457657436783738
Bayesian Gibbs,0.2,2,5.41894185015557
Ordinary least squares,0.2,3,5.346353790792629
Bayesian Gibbs,0.2,3,5.270512707348598
Ordinary least squares,0.2,4,5.472077188784231
Bayesian Gibbs,0.2,4,5.411125827498845
Ordinary least squares,0.2,5,5.869854334869485
Bayesian Gibbs,0.2,5,5.832894218901026
Ordinary least squares,0.2,6,5.334514664055528
Bayesian Gibbs,0.2,6,5.273074350284644
Ordinary least squares,0.2,7,5.993104490700126
Bayesian Gibbs,0.2,7,5.901742595689092
Ordinary least squares,0.2,8,5.45222503483796
Bayesian Gibbs,0.2,8,5.424541989239286
Ordinary least squares,0.2,9,5.277287318634761
Bayesian Gibbs,0.2,9,5.265256694445149
Ordinary least squares,0.2,10,5.260812153071265
Bayesian Gibbs,0.2,10,5.212397478108044
Ordinary least squares,0.2,11,5.273566068274094
Bayesian Gibbs,0.2,11,5.321484057837694
Ordinary least squares,0.2,12,5.455128134789957
Bayesian Gibbs,0.2,12,5.435850170077164
Ordinary least squares,0.2,13,5.466735063201947
Bayesian Gibbs,0.2,13,5.386793783743739
Ordinary least squares,0.2,14,5.02574100575008
Bayesian Gibbs,0.2,14,4.993539664004286
Ordinary least squares,0.2,15,5.187414442711465
Bayesian Gibbs,0.2,15,5.204309107712504
Ordinary least squares,0.2,16,5.457302225146128
Bayesian Gibbs,0.2,16,5.426431984178501
Ordinary least squares,0.2,17,5.328440298010233
Bayesian Gibbs,0.2,17,5.029047997902906
Ordinary least squares,0.2,18,5.278638148285211
Bayesian Gibbs,0.2,18,5.20234062710619
Ordinary least squares,0.2,19,5.258976754597803
Bayesian Gibbs,0.2,19,5.13848497385621
Ordinary least squares,0.3,0,5.197430202647848
Bayesian Gibbs,0.3,0,5.172614375285898
Ordinary least squares,0.3,1,5.604612257092263
Bayesian Gibbs,0.3,1,5.60635153744492
Ordinary least squares,0.3,2,5.002023019186213
Bayesian Gibbs,0.3,2,5.004974602251832
Ordinary least squares,0.3,3,5.011033419551602
Bayesian Gibbs,0.3,3,5.002173852343011
Ordinary least squares,0.3,4,5.21574563002324
Bayesian Gibbs,0.3,4,5.183002820785472
Ordinary least squares,0.3,5,5.084464082083719
Bayesian Gibbs,0.3,5,5.0575862227782835
Ordinary least squares,0.3,6,5.072896766239395
Bayesian Gibbs,0.3,6,5.082891866569638
Ordinary least squares,0.3,7,5.062843429820899
Bayesian Gibbs,0.3,7,5.07115992244998
Ordinary least squares,0.3,8,5.415864635573231
Bayesian Gibbs,0.3,8,5.4022024661164805
Ordinary least squares,0.3,9,5.010586973439314
